Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Potsdam,,,L,1,3,Y
,Roberts Wesleyan,,,W,4,0,N
,Syracuse,,,L,0,2,N
,Russell Sage,,,L,1,2,N
,Keuka,,,W,3,0,N
,SUNY Buffalo,,,L,2,3,N
,Genesee CC,,,W,2,1,N
,Buffalo State,,,L,0,2,Y
,Roberts Wesletan,,,W,2,0,N
,Colgate,,,L,0,2,N
,Binghamton,,,L,0,2,N
,Canisius,,,W,3,0,N
,LeMoyne,,,L,1,2,N
,Cazenovia,,,W,2,0,N
,Houghton,,,W,2,0,N
,Herkimer CC,,,L,1,2,N
,Alfred,,,W,2,1,N
,RIT,,,W,2,1,N
,Clarkson,,,W,2,0,N
,Paul Smith's,,,W,,,N
,Colgate,,,L,0,2,N
,St. John Fisher,,,L,0,2,N
,Cornell,,,L,1,3,N
,Colgate,,,L,0,2,N
,Syracuse,,,L,0,2,N
,Clarkson,,,W,2,0,N
,Potsdam,,,L,0,2,Y
