Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Potsdam,,,L,0,2,Y
,LeMoyne,,,W,2,0,N
,Roberts Wesleyan,,,W,3,0,N
,LeMoyne,,,W,2,0,N
,St. John Fisher,,,L,0,2,N
,Alfred,,,L,1,2,N
,RIT,,,L,0,2,N
,SUNY Buffalo,,,L,0,2,N
,Gannon,,,W,2,1,N
,Binghamton,,,L,1,2,N
,Colgate,,,L,0,2,N
,Canisius,,,L,1,2,N
,Buffalo State,,,L,1,2,Y
,Russell Sage,,,L,1,2,N
,Syracuse,,,L,0,2,N
,Clarkson,,,W,3,0,N
,Colgate,,,L,1,3,N
,Siena,,,W,2,0,N
,New Paltz,,,W,2,1,Y
,Potsdam,,,W,2,0,Y
,Oneonta,,,L,0,2,Y
,Cornell,,,L,1,3,N
