Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Keuka,,,W,2,0,N
,Elmira,,,L,1,2,N
,Clarkson,,,L,1,2,N
,Univ. of Buffalo,,,W,3,2,N
,Russell Sage,,,W,2,0,N
,Binghamton,,,L,0,2,N
,Rochester ,,,L,0,3,N
,Canisius,,,L,1,2,N
,Clarkson,,,L,1,3,N
,Buffalo State,,,L,0,2,Y
,Brockport,,,L,1,2,Y
,St. Lawrence,,,L,0,2,N
,RIT,,,L,1,3,N
,Oneonta,,,L,0,2,Y
,LeMoyne,,,L,0,2,N
,LeMoyne,,,L,0,2,N
,St. John Fisher,,,L,0,2,N
,RIT,,,L,1,3,N
,Elmira,,,W,2,1,N
,St. Lawrence,,,L,1,2,N
,RIT,,,L,0,2,N
,Potsdam,,,L,0,2,Y
,New Paltz,,,L,0,2,Y
,Plattsburgh,,,L,1,2,N
,Elmira,,,L,0,2,N
