Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
Dates N/A,Scranton,,,W,2,1,N
,Alfred,,,W,2,1,N
,Univ. of Buffalo,,,L,0,2,N
,Keuka,,,W,2,0,N
,Buffalo State,,,W,2,1,Y
,St. Lawrence,,,L,1,2,N
,LeMoyne,,,W,2,0,N
,Roberts Wesleyan,,,W,3,0,N
,Potsdam,,,L,1,3,Y
,Univ. of Buffalo,,,L,2,3,N
,Keuka,,,W,3,0,N
,Russell Sage,,,W,2,0,N
,Buffalo State,,,W,2,0,Y
,Houghton,,,L,1,2,N
,Colgate,,,L,0,2,N
,Binghamton,,,L,0,2,N
,Clarkson,,,L,1,2,N
,St. John Fisher,,,L,1,3,N
,Canisius,,,W,2,0,N
,RIT,,,L,0,2,N
,Oneonta,,,T,1,1,Y
,St. John Fisher,,,L,0,2,N
,Houghton,,,T,1,1,N
,Potsdam,,,W,2,1,Y
,Binghamton,,,L,0,2,N
,Rochester,,,L,1,3,N
,Cornell,,,L,0,2,N
,Elmira,,,L,0,2,N
,Fredonia,,,L,1,2,Y
,Oneonta,,,L,1,2,Y
,Russell Sage,,,W,2,0,N
