Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Clarkson,,,W,3,0,N
,Skidmore,,,W,2,0,N
,St. Lawrence,,,W,2,0,N
,LeMoyne,,,L,0,2,N
,Fredonia,,,L,2,3,Y
,Univ. of Buffalo,,,W,3,1,N
,Potsdam,,,W,2,0,Y
,Queens Canada,,,L,0,2,N
,Alfred,,,W,2,0,N
,Houghton,,,W,2,0,N
,Canisius,,,W,2,0,N
,Rochester,,,T,1,1,N
,Houghton,,,W,2,0,N
,Binghamton,,,W,2,0,N
,Rochester,,,L,1,2,N
,Clarkson,,,W,2,0,N
,Potsdam,,,L,0,2,Y
,Nazareth,,,L,0,2,N
,St. Lawrence,,,L,0,2,N
,Geneseo,,,L,0,2,Y
,RIT,,,W,3,1,N
,Elmira,,,L,1,3,N
,Plattsburgh,,,W,2,1,N
,Keuka,,,W,2,0,N
,Albany,,,W,2,1,N
,Union,,,W,2,0,N
,Russell Sage,,,W,2,0,N
,Keuka,,,W,3,0,N
,Roberts Wesleyan,,,W,2,1,N
,D' Youville,,,W,2,0,N
,Oneonta,,,L,0,2,Y
,Geneseo,,,L,0,2,Y
,Univ. of Buffalo,,,W,2,0,N
,Binghamton,,,L,1,2,N
,Brockport,,,L,0,2,Y
,Cortland,,,L,0,2,Y
,St. Lawrence,,,L,1,2,N
,Nazareth,,,L,1,2,N
