Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Keuka,,,W,3,1,N
,Potsdam,,,L,1,2,Y
,RIT,,,W,2,1,N
,Oneonta,,,L,0,2,Y
,Keuka,,,W,3,0,N
,Univ. of Buffalo,,,L,0,2,N
,Buffalo State,,,L,0,2,Y
,Canisius,,,W,2,0,N
,Binghamton,,,L,1,2,N
,Geneseo,,,L,1,2,Y
,Clarkson,,,W,3,0,N
,Eisenhower,,,W,3,1,N
,Eisenhower,,,W,3,0,N
,RIT,,,W,3,1,N
,Siena,,,L,1,3,N
,Russell Sage,,,L,1,2,N
,Rochester,,,L,1,2,N
,Nazareth,,,L,0,2,N
,Oneonta,,,L,0,2,Y
,Binghamton,,,L,0,2,N
,Geneseo,,,L,0,2,Y
,Clarkson,,,L,0,2,N
,Binghamton,,,L,0,2,N
,New Paltz,,,L,1,2,Y
,Russell Sage,,,L,1,2,N
,LeMoyne,,,W,2,0,N
,LeMoyne,,,L,0,2,N
,Niagara,,,L,0,2,N
,St. John Fisher,,,L,0,2,N
,Colgate,,,L,0,2,N
,Cornell,,,L,0,4,N
