Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Elmira,,,L,1,3,N
,Geneseo,,,W,2,0,Y
,St. John Fisher,,,L,0,2,N
,Oneonta,,,L,0,2,Y
,Buffalo State,,,L,1,2,Y
,LeMoyne,,,W,2,0,N
,Hamilton,,,W,2,0,N
,SUNYIT,,,W,2,0,N
,Brockport,,,L,0,2,Y
,Buffalo State,,,L,1,2,Y
,Geneseo,,,L,1,2,Y
,Fredonia,,,L,0,2,Y
,Nazareth,,,L,0,3,N
,Russell Sage,,,W,2,1,N
,North Adams,,,W,2,0,N
,Siena,,,W,2,1,N
,Binghamton,,,L,0,2,N
,St. Lawrence,,,W,2,1,N
,Russell Sage,,,W,2,0,N
,Brockport,,,L,0,2,Y
,Brockport,,,L,0,2,Y
,Keuka,,,L,0,2,N
,LeMoyne,,,W,2,0,N
,Brockport,,,L,0,2,Y
,Buffalo State,,,L,1,2,Y
,Geneseo,,,L,1,2,Y
,Fredonia,,,W,2,0,Y
,St. Lawrence,,,L,1,2,N
,Potsdam,,,L,0,2,Y
,Russell Sage,,,L,0,2,N
,Clarkson,,,W,2,0,N
,SUNYIT,,,L,0,2,N
,Cortland,,,L,1,2,Y
,Rochester,,,L,0,2,N
