Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,St. John Fisher,,,L,0,2,N
,Geneseo,,,L,0,2,Y
,Oneonta,,,L,0,3,Y
,Buffalo State,,,L,0,2,Y
,Fredonia,,,L,0,2,Y
,Hamilton,,,W,2,1,N
,RIT,,,L,0,2,N
,LeMoyne,,,W,2,0,N
,Elmira,,,L,1,2,N
,Nazareth,,,L,0,3,N
,Brockport,,,L,0,2,Y
,Fredonia,,,L,0,2,Y
,Buffalo State,,,L,0,2,Y
,Geneseo,,,L,0,2,Y
,Siena,,,L,0,2,N
,Binghamton,,,L,0,2,N
,St. Lawrence,,,L,0,2,N
,Clarkson,,,W,2,0,N
,$Brockport,,,L,0,2,N
,Keuka,,,L,1,3,N
,Russell Sage,,,W,2,1,N
,SUNYIT,,,W,2,1,N
,Clarkson,,,W,3,2,N
,SUNYIT,,,L,1,2,N
,Clarkson,,,L,0,2,N
,Potsdam,,,L,0,2,Y
,Russell Sage,,,W,2,0,N
,Rochester,,,L,0,2,N
,Cortland,,,L,0,2,Y
,Brockport,,,L,0,2,Y
